country_code,total_revenues_1995,total_revenues_1996,total_revenues_1997,total_revenues_1998,total_revenues_1999,total_revenues_2000,total_revenues_2001,total_revenues_2002,total_revenues_2003,total_revenues_2004,total_revenues_2005,total_revenues_2006,total_revenues_2007,total_revenues_2008,total_revenues_2009,total_revenues_2010,total_revenues_2011,total_revenues_2012,total_revenues_2013,total_revenues_2014,total_revenues_2015,total_revenues_2016,total_revenues_2017,total_revenues_2018,total_revenues_2019
ABW,554000000.0,666000000.0,726000000.0,786000000.0,782000000.0,850000000.0,825000000.0,835000000.0,858099975.6,1057000000.0,1097000000.0,1064099976.0,1213400024.0,1352000000.0,1223000000.0,1254000000.0,1358000000.0,1412000000.0,1506000000.0,1625000000.0,1659000000.0,1757000000.0,1855000000.0,2029000000.0,2091000000.0
AGO,27000000.0,38000000.0,24000000.0,39000000.0,31000000.0,34000000.0,35000000.0,51000000.0,63000000.0,82000000.0,103000000.0,91000000.0,236000000.0,293000000.0,554000000.0,726000000.0,653000000.0,711000000.0,1241000000.0,1597000000.0,1171000000.0,628000000.0,884000000.0,557000000.0,395000000.0
ALB,70000000.0,94000000.0,34000000.0,60000000.0,218000000.0,398000000.0,451000000.0,492000000.0,537000000.0,756000000.0,880000000.0,1057000000.0,1479000000.0,1850000000.0,2013000000.0,1778000000.0,1833000000.0,1623000000.0,1670000000.0,1849000000.0,1613000000.0,1821000000.0,2050000000.0,2306000000.0,2458000000.0
ARE,632000000.0,743000000.0,814000000.0,859000000.0,893000000.0,1063000000.0,1200000000.0,1332000000.0,1438000000.0,1593000000.0,3218000000.0,4972000000.0,6072000000.0,7162000000.0,7352000000.0,8577000000.0,9204000000.0,10924000000.0,12389000000.0,15221000000.0,17481000000.0,19496000000.0,21049000000.0,21372000000.0,38413300781.0
ARG,2550000000.0,2975000000.0,3153000000.0,3353000000.0,3175000000.0,3195000000.0,2756000000.0,1716000000.0,2306000000.0,2660000000.0,3209000000.0,3926000000.0,5030000000.0,5273000000.0,4455000000.0,5605000000.0,6058000000.0,5665000000.0,5199000000.0,5645000000.0,5441000000.0,5466000000.0,5830000000.0,5999000000.0,5654000000.0
ARM,14000000.0,18000000.0,33000000.0,41000000.0,47000000.0,52000000.0,81000000.0,81000000.0,90000000.0,189000000.0,243000000.0,406000000.0,522000000.0,564000000.0,570000000.0,694000000.0,762000000.0,853000000.0,905000000.0,994000000.0,956000000.0,1037000000.0,1224000000.0,1358000000.0,1553000000.0
AUS,10370000000.0,11882000000.0,11735000000.0,10169000000.0,11408000000.0,11594000000.0,11333000000.0,12148000000.0,14981000000.0,18032000000.0,19719000000.0,20408000000.0,25024000000.0,27189000000.0,26909000000.0,31064000000.0,34315000000.0,34137000000.0,32889000000.0,35736000000.0,36249000000.0,39059000000.0,43975000000.0,47327000000.0,47953000000.0
AZE,87000000.0,57000000.0,176000000.0,143000000.0,93000000.0,68000000.0,57000000.0,63000000.0,70000000.0,79000000.0,100000000.0,201000000.0,317000000.0,382000000.0,545000000.0,792000000.0,1500000000.0,2634000000.0,2618000000.0,2713000000.0,2535000000.0,2855000000.0,3214000000.0,2830000000.0,2004099976.0
BGR,662000000.0,541000000.0,517000000.0,1150000000.0,1184000000.0,1364000000.0,1262000000.0,1392000000.0,2051000000.0,2796000000.0,3063000000.0,3317000000.0,4181000000.0,4852000000.0,4273000000.0,3807000000.0,4297000000.0,3975000000.0,4410000000.0,4518000000.0,3583000000.0,4164000000.0,4678000000.0,5055000000.0,4825000000.0
BHR,593000000.0,589000000.0,578000000.0,625000000.0,785000000.0,854000000.0,886000000.0,985000000.0,1206000000.0,1504000000.0,1603000000.0,1786000000.0,1854000000.0,1927000000.0,1873000000.0,2163000000.0,1766000000.0,1752000000.0,1875000000.0,1913000000.0,2827000000.0,4021000000.0,4380000000.0,3834000000.0,3860000000.0
BHS,1356000000.0,1409000000.0,1427000000.0,1365000000.0,1598000000.0,1753000000.0,1665000000.0,1773000000.0,1770000000.0,1897000000.0,2081000000.0,2066000000.0,2198000000.0,2155000000.0,2025000000.0,2159000000.0,2157000000.0,2333000000.0,2305000000.0,2336000000.0,2554000000.0,3091000000.0,3017000000.0,3383000000.0,3606000000.0
BLR,28000000.0,61000000.0,40000000.0,54000000.0,92000000.0,188000000.0,272000000.0,295000000.0,339000000.0,362000000.0,346000000.0,401000000.0,479000000.0,585000000.0,563000000.0,665000000.0,747000000.0,986000000.0,1156000000.0,1230000000.0,1013000000.0,1019000000.0,1124500000.0,1221000000.0,1290000000.0
BOL,92000000.0,100000000.0,129000000.0,137000000.0,124000000.0,101000000.0,119000000.0,143000000.0,243000000.0,283000000.0,345000000.0,330000000.0,326000000.0,302000000.0,306000000.0,339000000.0,499000000.0,631000000.0,639000000.0,746000000.0,810000000.0,827000000.0,928000000.0,948000000.0,936000000.0
BRA,1085000000.0,744000000.0,1025000000.0,1398000000.0,1718000000.0,1969000000.0,1844000000.0,2142000000.0,2673000000.0,3389000000.0,4168000000.0,4577000000.0,5284000000.0,6109000000.0,5635000000.0,5522000000.0,6370000000.0,6623000000.0,6784000000.0,7405000000.0,6254000000.0,6613000000.0,6175000000.0,6324000000.0,6127000000.0
BTN,5000000.0,6000000.0,6000000.0,8000000.0,9000000.0,10000000.0,9000000.0,8000000.0,8000000.0,13000000.0,19000000.0,36000000.0,47000000.0,47000000.0,51000000.0,64000000.0,76000000.0,93000000.0,116000000.0,99000000.0,120000000.0,139000000.0,153000000.0,121000000.0,120000000.0
BWA,176000000.0,105000000.0,141000000.0,179000000.0,239000000.0,227000000.0,235000000.0,324000000.0,459000000.0,582000000.0,563000000.0,540000000.0,548299987.8,510700012.2,663599975.6,440100006.1,468299987.8,515599975.6,484200012.2,529299987.8,534299987.8,505000000.0,542599975.6,584200012.2,572099975.6
CHE,11354000000.0,10779000000.0,10036000000.0,10188000000.0,9135000000.0,9058000000.0,9392000000.0,9198000000.0,10427000000.0,11217000000.0,11914000000.0,12961000000.0,14934000000.0,18016000000.0,17023000000.0,17883000000.0,20809000000.0,19564000000.0,20236000000.0,21358000000.0,20140000000.0,19787000000.0,20399000000.0,21294000000.0,21257000000.0
